step 40074/60000 (66.79%) | K: 2 | loss: 5.444580 | L1: 2.556821 | L2: 2.888828 | lrm: 0.54 | dt: 1976.29ms | tok/sec: 265,288 | bf16_mfu: 62.19 | epoch: 3 pq: 101 rg: 64 | total time: 678.77m | eta: 337.6m
step 40075/60000 (66.79%) | K: 2 | loss: 5.442263 | L1: 2.560547 | L2: 2.882676 | lrm: 0.54 | dt: 1975.09ms | tok/sec: 265,450 | bf16_mfu: 62.23 | epoch: 3 pq: 101 rg: 64 | total time: 678.80m | eta: 337.6m
step 40076/60000 (66.79%) | K: 2 | loss: 5.411980 | L1: 2.549992 | L2: 2.862845 | lrm: 0.54 | dt: 1976.08ms | tok/sec: 265,316 | bf16_mfu: 62.19 | epoch: 3 pq: 101 rg: 64 | total time: 678.84m | eta: 337.6m
step 40077/60000 (66.80%) | K: 2 | loss: 5.399733 | L1: 2.548208 | L2: 2.852294 | lrm: 0.54 | dt: 1976.41ms | tok/sec: 265,273 | bf16_mfu: 62.18 | epoch: 3 pq: 101 rg: 64 | total time: 678.87m | eta: 337.6m
step 40078/60000 (66.80%) | K: 2 | loss: 5.384776 | L1: 2.544752 | L2: 2.840713 | lrm: 0.54 | dt: 1976.09ms | tok/sec: 265,316 | bf16_mfu: 62.19 | epoch: 3 pq: 101 rg: 64 | total time: 678.90m | eta: 337.6m
step 40079/60000 (66.80%) | K: 2 | loss: 5.365296 | L1: 2.539278 | L2: 2.826635 | lrm: 0.54 | dt: 1975.65ms | tok/sec: 265,375 | bf16_mfu: 62.21 | epoch: 3 pq: 101 rg: 64 | total time: 678.93m | eta: 337.5m
step 40080/60000 (66.80%) | K: 2 | loss: 5.350656 | L1: 2.535818 | L2: 2.815392 | lrm: 0.54 | dt: 2959.23ms | tok/sec: 177,170 | bf16_mfu: 41.53 | epoch: 3 pq: 101 rg: 72 | total time: 678.98m | eta: 337.5m
step 40081/60000 (66.80%) | K: 2 | loss: 5.345353 | L1: 2.537107 | L2: 2.808743 | lrm: 0.54 | dt: 1968.12ms | tok/sec: 266,390 | bf16_mfu: 62.45 | epoch: 3 pq: 101 rg: 72 | total time: 679.02m | eta: 337.5m
step 40082/60000 (66.80%) | K: 2 | loss: 5.326802 | L1: 2.531305 | L2: 2.795942 | lrm: 0.54 | dt: 1973.89ms | tok/sec: 265,611 | bf16_mfu: 62.26 | epoch: 3 pq: 101 rg: 72 | total time: 679.05m | eta: 337.5m
step 40083/60000 (66.81%) | K: 2 | loss: 5.327425 | L1: 2.534414 | L2: 2.793412 | lrm: 0.54 | dt: 1974.11ms | tok/sec: 265,582 | bf16_mfu: 62.26 | epoch: 3 pq: 101 rg: 72 | total time: 679.08m | eta: 337.5m
step 40084/60000 (66.81%) | K: 2 | loss: 5.309017 | L1: 2.528461 | L2: 2.780916 | lrm: 0.54 | dt: 1970.33ms | tok/sec: 266,091 | bf16_mfu: 62.38 | epoch: 3 pq: 101 rg: 72 | total time: 679.12m | eta: 337.5m
step 40085/60000 (66.81%) | K: 2 | loss: 5.319726 | L1: 2.536827 | L2: 2.783223 | lrm: 0.54 | dt: 1969.33ms | tok/sec: 266,227 | bf16_mfu: 62.41 | epoch: 3 pq: 101 rg: 72 | total time: 679.15m | eta: 337.5m
step 40086/60000 (66.81%) | K: 2 | loss: 5.319182 | L1: 2.539637 | L2: 2.779836 | lrm: 0.54 | dt: 1971.34ms | tok/sec: 265,955 | bf16_mfu: 62.34 | epoch: 3 pq: 101 rg: 72 | total time: 679.18m | eta: 337.5m
step 40087/60000 (66.81%) | K: 2 | loss: 5.327286 | L1: 2.545751 | L2: 2.781797 | lrm: 0.54 | dt: 1969.73ms | tok/sec: 266,172 | bf16_mfu: 62.40 | epoch: 3 pq: 101 rg: 80 | total time: 679.21m | eta: 337.5m
step 40088/60000 (66.81%) | K: 2 | loss: 5.316339 | L1: 2.543239 | L2: 2.773334 | lrm: 0.54 | dt: 1969.94ms | tok/sec: 266,144 | bf16_mfu: 62.39 | epoch: 3 pq: 101 rg: 80 | total time: 679.25m | eta: 337.5m
step 40089/60000 (66.81%) | K: 2 | loss: 5.284914 | L1: 2.530679 | L2: 2.754445 | lrm: 0.54 | dt: 1972.11ms | tok/sec: 265,851 | bf16_mfu: 62.32 | epoch: 3 pq: 101 rg: 80 | total time: 679.28m | eta: 337.5m
